08:52:19.478 ERROR Egg 
08:52:19.478 ERROR InvalidPositionError 
10:00:37.761 ERROR ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js'
Error: ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js' 
10:01:39.246 ERROR ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js'
Error: ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js' 
10:01:50.214 ERROR ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js'
Error: ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js' 
10:19:52.554 ERROR ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js'
Error: ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js' 
10:23:02.811 ERROR ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js'
Error: ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js' 
10:24:02.769 ERROR ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js'
Error: ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js' 
11:20:52.032 ERROR ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js'
Error: ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js' 
11:21:10.505 ERROR ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js'
Error: ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js' 
11:22:08.225 ERROR ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js'
Error: ENOENT: no such file or directory, open '/home/runner/workspace/bin/server/../client/js/app.js' 
